instance,reproduction_status,threshold_printed,public_reconstruction_kernel_n,public_reconstruction_kernel_edges,public_reconstruction_density,expected_2q_gates_from_edges_p2,paper_kernel_n,paper_density,alpha_first_kernel,first_kernel_safe_nodes,first_kernel_total_nodes,first_kernel_safe_fraction,random_trials,random_success_probability,random_success_ci95_low,random_success_ci95_high,random_mean_kernel_ar,random_mean_kernel_ar_ci95_low,random_mean_kernel_ar_ci95_high,random_mean_informer_calls,random_p95_informer_calls,random_probability_success_within_5_calls,paper_qredumis_pmis,paper_qredumis_mean_ar,random_success_gap_vs_paper_qredumis,random_kernel_ar_gap_vs_paper_qredumis,max_reduction_gain_success,max_reduction_gain_kernel_ar,max_reduction_gain_calls,reproduction_note
DAX 100 exact-match,exact_match,0.24,49,346,0.2942176870748299,692,49,0.29,17,27,49,0.5510204081632653,100000,0.40142,0.39838569637307847,0.40446187715619847,0.9148582352941176,0.914234889983846,0.9154815806043891,1.65775,3.0,0.40124,0.95,1.0,0.54858,0.08514176470588242,True,1.0,1,"DAX: public data + printed λ reproduce kernel nodes, edges, density and 2Q gate count."
FTSE 100 closest-match,near_match,0.320029,46,287,0.2772946859903382,574,45,0.28,16,22,46,0.4782608695652174,100000,0.39834,0.39530971601485304,0.4013780941391975,0.904679375,0.904055834456341,0.9053029155436589,1.30458,2.0,0.39834,0.7,0.98,0.30165999999999993,0.07532062500000003,True,1.0,1,"FTSE: public reconstruction matches reported density and 2Q gate count (287 edges -> 574 gates) but has 46 nodes, while Table 1 reports 45."
S&P 100 circuit-matched,circuit_matched_proxy,0.242,68,457,0.20061457418788411,914,68,0.2,21,23,68,0.3382352941176471,100000,0.07274,0.07114669462743485,0.07436613014552963,0.8571504761904761,0.8566958828257064,0.8576050695552458,2.728,5.0,0.07266,0.4,0.96,0.32726,0.10284952380952384,True,1.0,1,"S&P: λ=0.2420 (rounds to 0.24) reproduces 68 nodes, 457 edges, density≈0.20 and 914 2Q gates."
Nikkei 225 circuit-matched,circuit_matched_proxy,0.6184,78,508,0.16916416916416915,1016,78,0.17,28,36,78,0.46153846153846156,100000,0.13165,0.12956855383359375,0.13375974510644614,0.895237142857143,0.8947432698658476,0.8957310158484383,2.66931,4.0,0.13141,0.95,0.99,0.8183499999999999,0.09476285714285704,False,0.8928571428571429,1,"Nikkei: λ=0.6184 (rounds to 0.62) reproduces 78 nodes, 508 edges, density≈0.17 and 1016 2Q gates."
